"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"C02","W0127",0.0214,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0418,"W0127.0hr",0.042,-0.000200000000000006,-0.00934579439252363,"LDSc3-07","Native","LDS"
"C03","W0127",0.0214,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.042,"W0127.0hr",0.042,0,0,"LDSc3-07","Native","LDS"
"C04","W0128",0.0456,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0391,"W0128.0hr",0.0425,-0.0034,-0.0745614035087719,"SAN20-05","Native","SAN"
"C05","W0128",0.0456,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0394,"W0128.0hr",0.0425,-0.00310000000000001,-0.067982456140351,"SAN20-05","Native","SAN"
"C06","W0128",0.0456,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0395,"W0128.0hr",0.0425,-0.003,-0.0657894736842106,"SAN20-05","Native","SAN"
"C07","W0517",0.0181,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0394,"W0517.0hr",0.0418,-0.0024,-0.132596685082873,"ARC29-01","Invasive","ARC"
"C08","W0517",0.0181,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0409,"W0517.0hr",0.0418,-0.000899999999999998,-0.0497237569060772,"ARC29-01","Invasive","ARC"
"C09","W0517",0.0181,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0392,"W0517.0hr",0.0418,-0.0026,-0.143646408839779,"ARC29-01","Invasive","ARC"
"C10","W0518",0.0121,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0392,"W0518.0hr",0.0431,-0.0039,-0.322314049586777,"MUSs2-05","Native","MUS"
"C11","W0518",0.0121,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0392,"W0518.0hr",0.0431,-0.0039,-0.322314049586777,"MUSs2-05","Native","MUS"
"C12","W0518",0.0121,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0394,"W0518.0hr",0.0431,-0.0037,-0.305785123966942,"MUSs2-05","Native","MUS"
"D01","W0130",0.0258,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0389,"W0130.0hr",0.0418,-0.0029,-0.112403100775194,"ARC26","Invasive","ARC"
"D02","W0130",0.0258,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.042,"W0130.0hr",0.0418,0.000200000000000006,0.00775193798449635,"ARC26","Invasive","ARC"
"D03","W0130",0.0258,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0409,"W0130.0hr",0.0418,-0.000899999999999998,-0.0348837209302325,"ARC26","Invasive","ARC"
"D04","W0132",0.0376,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0471,"W0132.0hr",0.0423,0.00480000000000001,0.127659574468085,"CDCc2-04","Native","CDC"
"D05","W0132",0.0376,2,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0529,"W0132.0hr",0.0423,0.0106,0.281914893617021,"CDCc2-04","Native","CDC"
"D06","W0132",0.0376,3,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0395,"W0132.0hr",0.0423,-0.0028,-0.0744680851063829,"CDCc2-04","Native","CDC"
"D07","W0520",0.0239,1,0,"0hr","Plate2.csv","Plate2","10POD_0hr_Plate2",0.0511,"W0520.0hr",0.0427,0.0084,0.351464435146443,"PI458758","Invasive","Chi"
